City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Kavaratti,IN,10.5669,72.642,82.92,75,100,13.58,overcast clouds
79,Warri,NG,5.5167,5.75,75.76,94,100,1.61,light rain
80,Saint-Philippe,RE,-21.3585,55.7679,69.39,87,96,16.37,moderate rain
81,Cherskiy,RU,68.75,161.3,69.6,31,13,8.01,few clouds
82,Kruisfontein,ZA,-34.0033,24.7314,62.02,50,100,0.45,overcast clouds
83,Koson,UZ,39.0375,65.585,75.52,33,0,3.98,clear sky
84,Rawson,AR,-43.3002,-65.1023,55.76,28,100,12.12,overcast clouds
85,San Cristobal,VE,7.7669,-72.225,68.18,98,100,2.95,overcast clouds
86,Norman Wells,CA,65.282,-126.8329,41.04,93,100,13.8,light intensity shower rain
87,Bredasdorp,ZA,-34.5322,20.0403,58.3,72,100,6.58,overcast clouds
88,Provideniya,RU,64.3833,-173.3,42.37,62,100,2.46,overcast clouds
89,Saskylakh,RU,71.9167,114.0833,69.06,29,1,7.29,clear sky
90,Tiksi,RU,71.6872,128.8694,45.12,66,71,6.73,broken clouds
91,Saint-Joseph,RE,-21.3667,55.6167,68.38,85,54,16.49,light rain
92,Romny,UA,50.751,33.4747,59.32,94,2,5.84,clear sky
93,Birjand,IR,32.8663,59.2211,76.24,30,3,8.97,clear sky
94,Marmaris,TR,36.855,28.2742,73.11,79,5,5.97,clear sky
95,Ribeira Grande,PT,38.5167,-28.7,62.92,81,74,22.82,broken clouds
96,Castro,BR,-24.7911,-50.0119,37.49,70,0,4.12,clear sky
97,Leshukonskoye,RU,64.8989,45.7622,57.33,48,100,7.78,overcast clouds
98,Bluff,NZ,-46.6,168.3333,45.81,61,94,24.94,overcast clouds
99,Dikson,RU,73.5069,80.5464,29.98,93,100,17.38,overcast clouds
100,Yaan,NG,7.3833,8.5667,71.98,96,91,3.85,moderate rain
101,Kirakira,SB,-10.4544,161.9205,84.7,70,27,9.1,scattered clouds
102,Sitka,US,57.0531,-135.33,51.69,76,100,0.0,overcast clouds
103,Bambous Virieux,MU,-20.3428,57.7575,70.21,79,58,20.15,light rain
104,Khatanga,RU,71.9667,102.5,67.87,32,100,11.56,overcast clouds
105,Waingapu,ID,-9.6567,120.2641,83.8,59,88,12.84,overcast clouds
106,Mahina,PF,-17.5065,-149.489,83.97,58,20,3.44,few clouds
107,Narsaq,GL,60.9167,-46.05,44.82,93,100,5.14,overcast clouds
108,Tucuman,AR,-26.8241,-65.2226,44.6,93,0,10.36,clear sky
109,Egvekinot,RU,66.3167,-179.1667,46.13,40,100,2.48,overcast clouds
110,Cidreira,BR,-30.1811,-50.2056,49.66,76,37,14.58,scattered clouds
111,Salalah,OM,17.0151,54.0924,82.89,82,10,4.72,clear sky
112,Kargopol,RU,61.5071,38.9456,52.2,81,100,4.99,light rain
113,Esperance,AU,-33.8667,121.9,62.44,70,90,33.26,overcast clouds
114,Sabha,LY,27.0377,14.4283,75.18,35,0,9.31,clear sky
115,Faya,SA,18.3851,42.4509,64.92,18,1,5.08,clear sky
116,Faanui,PF,-16.4833,-151.75,79.75,74,71,22.01,light rain
117,Hasaki,JP,35.7333,140.8333,75.29,58,47,12.15,scattered clouds
118,Pacific Grove,US,36.6177,-121.9166,68.54,84,100,13.0,overcast clouds
119,Cartagena,CO,10.3997,-75.5144,78.42,94,75,3.44,broken clouds
120,La Asuncion,VE,11.0333,-63.8628,77.95,84,100,15.23,overcast clouds
121,Onega,RU,63.9061,38.1404,56.23,91,100,7.58,overcast clouds
122,Sao Filipe,CV,14.8961,-24.4956,72.81,84,34,4.52,scattered clouds
123,Fortuna,US,40.5982,-124.1573,57.65,78,100,14.97,overcast clouds
124,Coahuayana,MX,18.7333,-103.6833,80.73,77,61,1.41,broken clouds
125,Cubarral,CO,3.7935,-73.8406,68.2,97,99,1.36,overcast clouds
126,Balabac,PH,7.9868,117.0645,86.61,59,100,3.91,overcast clouds
127,Broome,US,42.2506,-75.833,65.53,97,100,6.91,light rain
128,Fairbanks,US,64.8378,-147.7164,68.59,43,0,0.0,haze
129,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.24,76,48,5.57,scattered clouds
130,Altar,MX,30.7,-111.8167,96.39,24,0,12.55,clear sky
131,Airai,TL,-8.9266,125.4092,70.5,54,53,4.61,broken clouds
132,Talnakh,RU,69.4865,88.3972,70.02,34,70,2.17,broken clouds
133,Buchanan,LR,5.8808,-10.0467,75.78,90,44,5.97,moderate rain
134,Buala,SB,-8.145,159.5921,84.51,67,10,5.95,light rain
135,Clyde River,CA,70.4692,-68.5914,32.7,73,66,1.72,broken clouds
136,Kulhudhuffushi,MV,6.6221,73.07,82.63,76,99,7.27,overcast clouds
137,Booue,GA,-0.0921,11.9385,71.15,99,39,2.77,scattered clouds
138,Vardo,NO,70.3705,31.1107,46.38,66,20,18.41,few clouds
139,Kavieng,PG,-2.5744,150.7967,83.44,72,94,11.74,light rain
140,Suez,EG,29.9737,32.5263,71.37,76,0,5.14,clear sky
141,Port Hardy,CA,50.6996,-127.4199,52.5,76,21,15.21,few clouds
142,San Vicente,AR,-26.6167,-54.1333,35.01,94,0,2.66,clear sky
143,Atuona,PF,-9.8,-139.0333,77.52,68,66,19.01,broken clouds
144,Mehamn,NO,71.0357,27.8492,44.51,93,75,24.16,broken clouds
145,Pemba,MZ,-12.974,40.5178,69.4,84,3,13.98,clear sky
146,Encheng,CN,22.1839,112.3026,83.97,84,100,11.5,light rain
147,Pisco,PE,-13.7,-76.2167,60.85,82,100,2.3,mist
148,Anloga,GH,5.7947,0.8973,78.84,78,100,11.1,overcast clouds
149,Tabuk,PH,17.4189,121.4443,87.91,65,62,7.72,broken clouds
150,Wum,CM,6.3833,10.0667,61.79,94,83,3.06,broken clouds
151,Omboue,GA,-1.5746,9.2618,73.87,94,16,5.03,few clouds
152,Chokurdakh,RU,70.6333,147.9167,67.5,19,15,10.04,few clouds
153,Kalmunai,LK,7.4167,81.8167,84.65,66,70,2.89,broken clouds
154,Westport,US,41.1415,-73.3579,69.35,93,100,1.01,overcast clouds
155,Cape Town,ZA,-33.9258,18.4232,59.34,91,100,3.0,heavy intensity rain
156,Severo-Kurilsk,RU,50.6789,156.125,45.45,84,51,9.4,broken clouds
157,Lagoa,PT,39.05,-27.9833,62.2,83,80,18.68,light rain
158,Dover,US,39.1582,-75.5244,72.1,95,0,6.91,clear sky
159,New Norfolk,AU,-42.7826,147.0587,52.72,74,65,3.0,broken clouds
160,Lagonoy,PH,13.7342,123.5207,88.56,65,46,6.89,scattered clouds
161,Minden,DE,52.2833,8.9167,54.99,84,42,3.44,scattered clouds
162,Dunedin,NZ,-45.8742,170.5036,46.8,80,100,18.99,light rain
163,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,91,55,15.19,light rain
164,Staryy Saltiv,UA,50.0827,36.7939,64.45,89,16,1.41,few clouds
165,Suleja,NG,9.1758,7.1808,73.17,81,60,1.59,broken clouds
166,Bitung,ID,1.4451,125.1824,88.65,67,97,4.09,overcast clouds
167,Dauphin,CA,51.1494,-100.0502,56.3,97,92,3.67,overcast clouds
168,Anadyr,RU,64.75,177.4833,61.3,44,20,6.71,few clouds
169,Aroeiras,BR,-7.5453,-35.7075,66.42,98,20,1.74,few clouds
170,Port Augusta,AU,-32.5,137.7667,60.94,47,16,12.37,few clouds
171,La Orilla,MX,17.9833,-102.2333,81.46,75,11,2.26,few clouds
172,Avera,US,33.194,-82.5271,82.54,65,83,6.15,broken clouds
173,Wajir,KE,1.7471,40.0573,72.52,83,48,11.1,scattered clouds
174,Imeni Zhelyabova,RU,58.9544,36.5956,54.93,83,100,3.15,overcast clouds
175,Arraial Do Cabo,BR,-22.9661,-42.0278,67.93,59,100,25.75,overcast clouds
176,Mantua,IT,45.1667,10.7833,69.35,76,42,1.99,scattered clouds
177,Lazaro Cardenas,MX,17.9583,-102.2,81.84,76,11,3.13,few clouds
178,Vanimo,PG,-2.6741,141.3028,85.77,61,10,9.22,clear sky
179,Saint George,US,37.1041,-113.5841,97.39,7,0,20.71,clear sky
180,Oktyabrskoye,RU,43.0645,44.7417,62.74,77,71,6.71,broken clouds
181,Yakima,US,46.4665,-120.6678,55.71,68,100,14.97,overcast clouds
182,Lasa,IT,46.6166,10.7002,59.36,63,95,3.4,overcast clouds
183,Ahipara,NZ,-35.1667,173.1667,59.23,62,8,22.57,clear sky
184,Dukat,RU,62.55,155.55,45.3,63,75,4.65,broken clouds
185,Warrensburg,US,38.7628,-93.7361,84.38,82,0,4.61,clear sky
186,Chimore,BO,-16.9833,-65.1333,57.0,89,0,1.99,clear sky
187,Chernyshevskiy,RU,63.0128,112.4714,68.2,27,35,5.01,scattered clouds
188,Douglas,US,41.3,-96.167,82.6,78,0,8.05,clear sky
189,Vila Franca Do Campo,PT,37.7167,-25.4333,62.2,89,21,6.15,few clouds
190,Yumen,CN,40.2833,97.2,80.91,7,0,16.75,clear sky
191,Kawalu,ID,-7.3817,108.2082,82.44,71,100,1.48,overcast clouds
192,Asau,RO,46.4333,26.4,63.52,93,15,4.63,few clouds
193,Usvyaty,RU,55.7456,30.7533,56.43,91,60,3.29,broken clouds
194,Souillac,MU,-20.5167,57.5167,72.14,83,66,18.23,light rain
195,Kazachinskoye,RU,57.6953,93.2761,77.0,45,28,7.11,scattered clouds
196,Torbay,CA,47.6666,-52.7314,45.88,92,100,15.01,mist
197,Banjar,ID,-8.19,114.9675,83.7,77,96,3.09,overcast clouds
198,Pakenham,AU,-38.0667,145.4833,54.39,86,100,1.99,overcast clouds
199,Singleton,AU,-32.5667,151.1833,60.66,45,0,0.74,clear sky
200,Dharchula,IN,29.85,80.5333,86.52,30,12,4.68,few clouds
201,Mirador,BR,-6.3708,-44.3631,73.27,91,77,1.92,broken clouds
202,Hamilton,US,39.1834,-84.5333,76.6,89,100,0.0,overcast clouds
203,Luanda,AO,-8.8368,13.2343,67.84,86,1,6.49,clear sky
204,Abha,SA,18.2164,42.5053,64.65,34,0,0.0,clear sky
205,Geraldton,AU,-28.7667,114.6,68.41,64,75,9.22,broken clouds
206,Namibe,AO,-15.1961,12.1522,67.75,58,0,6.96,clear sky
207,Husavik,IS,66.0449,-17.3389,43.02,92,99,5.39,overcast clouds
208,Guerrero Negro,MX,27.9769,-114.0611,65.23,85,10,16.98,clear sky
209,Jacmel,HT,18.2342,-72.5347,82.24,85,31,6.08,scattered clouds
210,Thompson,CA,55.7435,-97.8558,60.64,63,60,3.47,broken clouds
211,Lompoc,US,34.6391,-120.4579,71.74,86,100,20.0,fog
212,Baherden,TM,38.4362,57.4316,82.72,27,0,11.14,clear sky
213,Rocha,UY,-34.4833,-54.3333,42.51,93,5,3.8,clear sky
214,Hobyo,SO,5.3505,48.5268,78.4,78,100,23.0,overcast clouds
215,Nanortalik,GL,60.1432,-45.2371,36.16,95,95,9.24,overcast clouds
216,Tuatapere,NZ,-46.1333,167.6833,46.42,69,100,18.14,overcast clouds
217,The Pas,CA,53.8251,-101.2541,57.07,83,12,7.87,few clouds
218,Longyearbyen,SJ,78.2186,15.6401,39.04,81,100,4.61,overcast clouds
219,Sur,OM,22.5667,59.5289,83.48,74,1,14.12,clear sky
220,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,44.53,66,0,6.02,clear sky
221,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.71,70,54,3.94,broken clouds
222,Port Hedland,AU,-20.3167,118.5667,82.45,20,0,11.5,clear sky
223,Bonavista,CA,48.6499,-53.1147,41.88,88,90,9.51,overcast clouds
224,Raxaul,IN,26.9833,84.85,94.64,45,27,11.74,scattered clouds
225,Umea,SE,63.8284,20.2597,51.91,100,20,2.3,fog
226,Igrim,RU,63.1906,64.4162,49.66,63,100,11.14,overcast clouds
227,Lodja,CD,-3.4833,23.4333,74.52,61,100,1.45,overcast clouds
228,Ayan,RU,56.45,138.1667,42.24,97,100,9.4,overcast clouds
229,Tabou,CI,4.423,-7.3528,77.43,79,100,8.37,overcast clouds
230,Talcahuano,CL,-36.7167,-73.1167,46.08,81,40,6.91,scattered clouds
231,Port Alfred,ZA,-33.5906,26.891,70.18,38,100,3.0,overcast clouds
232,Lima,PE,-12.0432,-77.0282,60.91,84,100,9.22,overcast clouds
233,Lawrenceburg,US,38.0373,-84.8966,80.49,79,20,6.91,few clouds
234,Kamaishi,JP,39.2667,141.8833,61.2,76,72,14.94,broken clouds
235,Huntsville,US,34.7304,-86.5861,82.31,79,0,10.0,clear sky
236,North Bend,US,43.4065,-124.2243,55.85,87,100,6.91,overcast clouds
237,Ville-Marie,CA,47.3335,-79.433,49.37,94,34,5.37,scattered clouds
238,Nador,MA,35.174,-2.9287,71.85,83,0,1.14,clear sky
239,Tororo,UG,0.693,34.1809,63.46,85,77,3.29,broken clouds
240,Severo-Yeniseyskiy,RU,60.3725,93.0408,68.94,53,54,7.96,light rain
241,Ambilobe,MG,-13.2,49.05,64.81,86,1,3.24,clear sky
242,Luba,GQ,3.4568,8.5547,78.76,86,99,7.52,light rain
243,Perth,AU,-31.9333,115.8333,67.03,62,75,18.41,broken clouds
244,Tsivilsk,RU,55.8611,47.4664,56.41,78,6,3.13,clear sky
245,Taoudenni,ML,22.6783,-3.9836,93.25,25,100,4.92,overcast clouds
246,Massakory,TD,12.996,15.7293,85.5,49,86,14.65,overcast clouds
247,Mahebourg,MU,-20.4081,57.7,70.25,79,62,20.33,light rain
248,Oranjemund,NA,-28.55,16.4333,58.26,60,100,7.96,overcast clouds
249,Zhongshan,CN,21.3226,110.5829,85.73,79,100,8.46,overcast clouds
250,Hun,LY,29.1268,15.9477,71.02,59,0,6.98,clear sky
251,Tasiilaq,GL,65.6145,-37.6368,35.76,99,100,4.12,light rain
252,Raudeberg,NO,61.9875,5.1352,48.96,95,100,20.47,light rain
253,Malchin,DE,53.7333,12.7833,52.18,96,59,7.47,broken clouds
254,Qasigiannguit,GL,68.8193,-51.1922,32.25,85,100,3.22,light snow
255,San Gwann,MT,35.9056,14.4761,70.65,78,20,4.61,few clouds
256,Eyl,SO,7.9803,49.8164,80.8,61,96,25.97,overcast clouds
257,Malpe,IN,13.35,74.7167,79.9,80,88,5.21,overcast clouds
258,Sibu,MY,2.3,111.8167,76.39,95,100,1.19,overcast clouds
259,Saldanha,ZA,-33.0117,17.9442,59.25,92,100,16.6,light rain
260,Bubaque,GW,11.2833,-15.8333,80.1,80,99,11.43,overcast clouds
261,Mae Sai,TH,20.4335,99.8762,83.66,69,95,2.51,overcast clouds
262,Yuancheng,CN,36.652,107.7896,79.05,12,0,16.46,clear sky
263,Bosaso,SO,11.2842,49.1816,91.17,44,100,7.94,overcast clouds
264,Zhigansk,RU,66.7697,123.3711,50.79,94,100,4.7,light rain
265,Port Orange,US,29.1383,-80.9956,81.99,82,75,4.0,broken clouds
266,Oudtshoorn,ZA,-33.5907,22.2014,57.56,39,100,5.41,overcast clouds
267,Port-Gentil,GA,-0.7193,8.7815,77.59,83,92,7.38,overcast clouds
268,Moose Jaw,CA,50.4001,-105.5344,63.63,73,100,11.7,overcast clouds
269,Kaithal,IN,29.8,76.3833,99.52,24,0,10.96,clear sky
270,Cap Malheureux,MU,-19.9842,57.6142,70.47,85,40,7.0,light rain
271,Olavarria,AR,-36.8927,-60.3225,44.44,61,79,7.61,broken clouds
272,Port Blair,IN,11.6667,92.75,84.24,84,40,4.61,scattered clouds
273,Liverpool,GB,53.4106,-2.9779,55.35,80,20,16.11,few clouds
274,Kodiak,US,57.79,-152.4072,67.51,49,0,11.5,smoke
275,Griffith,US,41.5284,-87.4237,62.53,86,75,8.05,broken clouds
276,Luwuk,ID,-0.9516,122.7875,85.44,69,45,4.03,scattered clouds
277,Meulaboh,ID,4.1363,96.1285,83.01,66,93,3.69,overcast clouds
278,Andenes,NO,69.3143,16.1194,44.58,93,100,12.66,light rain
279,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.93,69,100,18.3,overcast clouds
280,Xudat,AZ,41.631,48.681,69.1,75,45,13.2,scattered clouds
281,Teya,RU,60.3778,92.6267,72.3,53,51,7.87,light rain
282,Iqaluit,CA,63.7506,-68.5145,38.7,66,97,11.01,overcast clouds
283,Palasa,IN,18.7667,84.4167,91.9,46,46,5.03,scattered clouds
284,Flin Flon,CA,54.7682,-101.865,60.44,78,34,8.84,scattered clouds
285,Birin,NP,26.8865,88.0718,69.69,80,23,3.98,moderate rain
286,Videira,BR,-27.0083,-51.1517,33.84,98,0,0.74,clear sky
287,Darlowo,PL,54.421,16.4107,58.08,80,99,9.1,overcast clouds
288,Akranes,IS,64.3218,-22.0749,48.76,84,100,15.23,overcast clouds
289,Zyryanka,RU,65.75,150.85,69.39,30,19,13.78,few clouds
290,Lewistown,US,40.5992,-77.5714,70.2,100,0,0.0,mist
291,Hoeilaart,BE,50.7667,4.4667,56.34,86,0,6.91,clear sky
292,Yulara,AU,-25.2406,130.9889,63.61,34,0,4.68,clear sky
293,Pecos,US,31.4229,-103.4932,97.3,17,0,18.41,clear sky
294,Kampot,KH,10.6167,104.1833,89.65,61,91,5.03,overcast clouds
295,Karaton,ID,-6.3424,106.1045,81.36,77,100,1.3,light rain
296,Rorvik,NO,64.8621,11.2373,50.76,88,95,17.96,light rain
297,Marsa Matruh,EG,31.3525,27.2453,70.45,89,0,10.49,clear sky
298,Acarau,BR,-2.8856,-40.12,76.42,84,88,8.46,overcast clouds
299,Curaca,BR,-8.9903,-39.9094,76.12,72,30,8.59,scattered clouds
300,Guatire,VE,10.4762,-66.5427,77.2,98,100,1.92,overcast clouds
301,San Martin,AR,-33.081,-68.4681,49.59,51,33,6.22,scattered clouds
302,Atar,MR,20.5169,-13.0499,91.81,11,8,8.03,clear sky
303,Hovd,MN,48.0056,91.6419,80.47,22,6,0.85,clear sky
304,Elat,IL,29.5581,34.9482,75.85,68,0,7.7,clear sky
305,Tongren,CN,27.7172,109.1853,73.33,87,99,1.63,overcast clouds
306,Skelleftea,SE,64.7507,20.9528,57.99,67,23,4.61,few clouds
307,Mehran,IR,33.1222,46.1646,91.6,14,0,7.92,clear sky
308,Yarmouth,US,41.7057,-70.2286,68.11,87,40,8.05,scattered clouds
309,Hami,CN,42.8,93.45,93.07,5,0,6.11,clear sky
310,Nizwa,OM,22.9333,57.5333,88.63,23,15,4.68,few clouds
311,Byron Bay,AU,-28.65,153.6167,65.71,65,64,8.05,broken clouds
312,Veraval,IN,20.9,70.3667,84.72,74,54,11.74,broken clouds
313,Grootfontein,NA,-19.5667,18.1167,48.02,64,0,5.03,clear sky
314,Azad Shahr,IR,34.7909,48.5707,70.75,28,0,3.31,clear sky
315,Montgomery,US,39.1501,-77.1997,73.69,89,0,4.61,clear sky
316,Conde,BR,-7.2597,-34.9075,72.86,94,20,2.3,few clouds
317,Riberalta,BO,-10.9833,-66.1,59.94,81,13,3.53,few clouds
318,Saint-Francois,FR,46.4154,3.9054,63.84,88,0,3.44,clear sky
319,Riyadh,SA,24.6877,46.7219,84.34,13,0,5.06,clear sky
320,Kholtoson,RU,50.2981,103.3097,78.66,24,24,3.85,few clouds
321,Kamenka,RU,51.3223,42.7678,57.97,75,0,6.44,clear sky
322,Changli,CN,39.7042,119.1506,70.03,80,100,10.76,moderate rain
323,Tanout,NE,14.9709,8.8879,81.81,51,73,14.52,broken clouds
324,Xining,CN,36.6167,101.7667,63.55,35,28,4.83,scattered clouds
325,Przhevalskoye,RU,55.5093,31.8482,55.76,95,73,3.38,broken clouds
326,Cabo San Lucas,MX,22.8909,-109.9124,90.7,71,5,14.74,clear sky
327,Abatskoye,RU,56.2875,70.4555,56.66,91,68,11.56,broken clouds
328,Rio Bueno,CL,-40.3167,-72.9667,48.34,92,100,4.27,overcast clouds
329,Hambantota,LK,6.1241,81.1185,84.22,68,53,18.52,broken clouds
330,Bereznik,RU,62.8551,42.7072,56.17,59,100,7.34,overcast clouds
331,Akdepe,TM,42.0551,59.3788,84.18,16,0,3.69,clear sky
332,Saint-Pierre,RE,-21.3393,55.4781,72.91,88,100,21.85,light rain
333,Mapastepec,MX,15.4333,-92.9,75.2,94,100,3.36,overcast clouds
334,Kapoeta,SS,4.7717,33.5903,77.09,48,48,14.7,scattered clouds
335,San Patricio,US,28.017,-97.5169,84.09,80,5,17.13,clear sky
336,Mount Gambier,AU,-37.8333,140.7667,51.71,87,75,8.05,broken clouds
337,Ostrovnoy,RU,68.0531,39.5131,55.04,77,100,5.06,overcast clouds
338,Black Forest,US,39.0131,-104.7008,77.97,22,0,4.61,clear sky
