City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Talavera De La Reina,ES,2022-06-09 04:54:50,39.9635,-4.8308,62.69,73,12,4.56
69,Aklavik,CA,2022-06-09 04:54:51,68.2191,-135.0107,39.61,64,100,11.03
70,Mantena,BR,2022-06-09 04:54:51,-18.7817,-40.9803,62.58,81,0,1.63
71,Fortuna,US,2022-06-09 04:54:51,40.5982,-124.1573,56.93,83,100,10.36
72,Cape Town,ZA,2022-06-09 04:54:52,-33.9258,18.4232,59.92,84,5,5.75
73,Severo-Kurilsk,RU,2022-06-09 04:53:59,50.6789,156.125,44.01,87,100,5.86
74,Kapaa,US,2022-06-09 04:54:52,22.0752,-159.319,77.11,81,26,3.0
75,Puerto Carreno,CO,2022-06-09 04:54:52,6.189,-67.4859,76.35,85,98,2.73
76,Port Blair,IN,2022-06-09 04:54:53,11.6667,92.75,84.24,84,75,12.66
77,Geraldton,AU,2022-06-09 04:54:53,-28.7667,114.6,73.81,64,75,17.27
78,Vaitape,PF,2022-06-09 04:54:53,-16.5167,-151.75,78.33,77,25,5.17
79,Arkadak,RU,2022-06-09 04:54:54,51.9326,43.4978,62.64,63,0,6.29
80,Butaritari,KI,2022-06-09 04:54:54,3.0707,172.7902,82.2,70,9,9.13
81,Rioja,AR,2022-06-09 04:54:54,-29.4111,-66.8507,54.97,68,17,2.19
82,Puerto Ayora,EC,2022-06-09 04:54:54,-0.7393,-90.3518,70.56,90,19,3.0
83,Cherskiy,RU,2022-06-09 04:54:55,68.75,161.3,60.03,45,96,12.37
84,Arraial Do Cabo,BR,2022-06-09 04:54:55,-22.9661,-42.0278,69.51,89,50,10.09
85,Ushtobe,KZ,2022-06-09 04:54:55,45.2514,77.9838,89.69,19,76,3.11
86,Auki,SB,2022-06-09 04:54:56,-8.7676,160.7034,81.09,83,74,5.26
87,Qaanaaq,GL,2022-06-09 04:54:56,77.484,-69.3632,27.61,94,100,0.65
88,Ligaya,PH,2022-06-09 04:54:56,12.6599,120.8923,86.59,71,98,6.29
89,Beawar,IN,2022-06-09 04:55:57,26.1,74.3167,94.08,27,11,21.09
90,Galesong,ID,2022-06-09 04:55:57,-5.3166,119.3661,86.02,64,33,4.68
91,Belmonte,BR,2022-06-09 04:55:57,-15.8631,-38.8828,71.46,80,1,4.9
92,Charleston,US,2022-06-09 04:55:10,32.7766,-79.9309,79.11,84,100,10.36
93,Dulyapino,RU,2022-06-09 04:55:58,57.2578,40.8147,61.07,61,21,4.54
94,Tuatapere,NZ,2022-06-09 04:55:58,-46.1333,167.6833,45.57,87,44,5.32
95,Alofi,NU,2022-06-09 04:55:58,-19.0595,-169.9187,76.89,73,41,11.5
96,Kavieng,PG,2022-06-09 04:55:58,-2.5744,150.7967,83.82,59,52,7.92
